,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,total_slots,gps_ref,yelp_cafe_count,yelp_avg_cafe_rating,yelp_pub_count,yelp_avg_pub_rating,FSQ_pub_count,FSQ_avg_pub_rating,FSQ_cafe_count,FSQ_avg_cafe_rating,FSQ_total_POI
0,25,15,6141f2e7bed7b74a62c90855c3b95987,53.35023,-6.279696,GEORGES LANE,2022-12-03T06:17:36.422000Z,40,"53.35023,-6.279696",7,4.357142857142857,8.0,4.1875,8,7.916666666666667,5,7.8,13
1,13,17,e61ec9728297f73d6779e35ee766c892,53.357841,-6.251557,NORTH CIRCULAR ROAD (O'CONNELL'S),2022-12-03T06:17:36.383000Z,30,"53.357841,-6.251557",2,3.75,8.0,3.4375,4,7.8,2,,6
2,21,19,9a3222d1d49bec4b46fe2fc24720ac56,53.356307,-6.273717,PHIBSBOROUGH ROAD,2022-12-03T06:17:36.423000Z,40,"53.356307,-6.273717",3,4.0,8.0,4.125,9,7.85,5,,14
3,25,5,aa9dd743c0057f1898341bab187b68fc,53.349562,-6.278198,SMITHFIELD NORTH,2022-12-03T06:17:36.369000Z,30,"53.349562,-6.278198",7,4.357142857142857,8.0,4.25,9,8.057142857142857,9,7.8,18
4,27,6,13b5177c9d64d6cb8072f680addbf274,53.336021,-6.26298,CLONMEL STREET,2022-12-03T06:17:36.371000Z,33,"53.336021,-6.26298",5,4.1,8.0,4.0,14,7.671428571428571,6,7.933333333333334,20
5,24,11,4592d38c6267eee141a2ab5feb049765,53.359405,-6.276142,AVONDALE ROAD,2022-12-03T06:17:36.372000Z,35,"53.359405,-6.276142",4,4.0,6.0,3.9166666666666665,5,7.85,4,7.7,9
6,32,8,577db83eb19140b4f4a821bb93118e59,53.33796,-6.24153,MOUNT STREET LOWER,2022-12-03T06:17:36.373000Z,40,"53.33796,-6.24153",5,4.4,11.0,3.772727272727273,8,7.3625,6,6.8,14
7,7,13,8cd8770c3500b58e05c65dca076a00ac,53.343368,-6.27012,CHRISTCHURCH PLACE,2022-12-03T06:17:36.374000Z,20,"53.343368,-6.27012",3,4.5,14.0,4.178571428571429,11,8.327272727272726,8,8.5125,19
8,8,22,95b25abb14351ba18840c307f9af37cc,53.334123,-6.265436,GRANTHAM STREET,2022-12-03T06:17:36.375000Z,30,"53.334123,-6.265436",6,4.25,8.0,4.0625,8,7.7125,10,7.83,18
9,22,8,1d00b2d8a2c6e87fe5bce251bf05f2f8,53.344304,-6.250427,PEARSE STREET,2022-12-03T06:17:36.376000Z,30,"53.344304,-6.250427",8,4.1875,10.0,4.0,7,7.44,5,6.675,12
10,23,9,0c34fb0af6d2b20fe458d5fef1150854,53.338755,-6.262003,YORK STREET EAST,2022-12-03T06:17:36.376000Z,32,"53.338755,-6.262003",6,4.083333333333333,9.0,4.222222222222222,10,8.26,7,8.514285714285714,17
11,37,3,23b52025656abda6ce66359eced63f7f,53.347777,-6.244239,EXCISE WALK,2022-12-03T06:17:36.377000Z,40,"53.347777,-6.244239",9,4.277777777777778,9.0,3.611111111111111,6,7.5,5,7.033333333333334,11
12,18,12,03a129962208387e736a8305ff928dfe,53.336074,-6.252825,FITZWILLIAM SQUARE WEST,2022-12-03T06:17:36.378000Z,30,"53.336074,-6.252825",4,4.0,7.0,4.071428571428571,5,7.859999999999999,8,7.58,13
13,18,12,e24d1c306b1d65ad507083c305c709dc,53.330091,-6.268044,PORTOBELLO ROAD,2022-12-03T06:17:36.378000Z,30,"53.330091,-6.268044",8,4.125,6.0,3.6666666666666665,6,7.459999999999999,8,8.214285714285714,14
14,0,20,45918c3c3aefd7503768a69654b2673a,53.350929,-6.265125,PARNELL STREET,2022-12-03T06:17:36.379000Z,20,"53.350929,-6.265125",7,4.285714285714286,10.0,4.05,6,8.15,3,7.733333333333333,9
15,13,27,7a78649dff82a724a790100242faf612,53.341515,-6.256853,FREDERICK STREET SOUTH,2022-12-03T06:17:36.380000Z,40,"53.341515,-6.256853",4,4.125,15.0,4.2,3,8.200000000000001,4,8.575,7
16,3,27,c0eb1d097e6980bb8b91c2aee34d28c1,53.348279,-6.254662,CUSTOM HOUSE,2022-12-03T06:17:36.382000Z,30,"53.348279,-6.254662",3,4.166666666666667,19.0,4.131578947368421,11,8.209090909090909,8,7.9625,19
17,25,15,9befbe579535b21b26fe97729b9aaa3a,53.35893,-6.280337,RATHDOWN ROAD,2022-12-03T06:17:36.382000Z,40,"53.35893,-6.280337",2,4.0,4.0,4.0,4,7.85,1,7.5,5
18,37,3,f9bffc0c780d185d007102b425dfc7e1,53.344115,-6.237153,HANOVER QUAY,2022-12-03T06:17:36.384000Z,40,"53.344115,-6.237153",9,4.055555555555555,5.0,3.7,5,5.6,5,7.275,10
19,22,8,ba200d004f519056c7c22174689a353d,53.343893,-6.280531,OLIVER BOND STREET,2022-12-03T06:17:36.384000Z,30,"53.343893,-6.280531",9,4.444444444444445,12.0,4.291666666666667,9,7.6571428571428575,7,8.18,16
20,23,15,bd6828e2b768939185404e89537ab131,53.347477,-6.28525,COLLINS BARRACKS MUSEUM,2022-12-03T06:17:36.385000Z,38,"53.347477,-6.28525",7,4.357142857142857,7.0,4.285714285714286,8,7.8875,9,8.016666666666667,17
21,17,13,516ee41c56889c29b8fa5f4ac0e824f4,53.339005,-6.300217,BROOKFIELD ROAD,2022-12-03T06:17:36.386000Z,30,"53.339005,-6.300217",1,4.0,4.0,3.875,3,7.65,3,,6
22,40,0,0f8feb0dc54ee559f1517c597e284663,53.344153,-6.233451,BENSON STREET,2022-12-03T06:17:36.386000Z,40,"53.344153,-6.233451",7,4.0,8.0,3.875,1,7.4,5,7.833333333333333,6
23,13,17,163b271b79135baced85e8b3d02c9726,53.334295,-6.258503,EARLSFORT TERRACE,2022-12-03T06:17:36.387000Z,30,"53.334295,-6.258503",4,4.25,10.0,4.05,7,7.633333333333333,8,7.8374999999999995,15
24,8,12,85892a5c607e9d8c748b26e74f3a5db2,53.340803,-6.267732,GOLDEN LANE,2022-12-03T06:17:36.387000Z,20,"53.340803,-6.267732",4,4.375,13.0,4.230769230769231,11,8.218181818181819,8,8.2875,19
25,12,18,98efd5ef2d9832e32fa341c6f4e39889,53.351464,-6.255265,DEVERELL PLACE,2022-12-03T06:17:36.388000Z,30,"53.351464,-6.255265",7,4.428571428571429,15.0,3.966666666666667,8,7.914285714285714,6,8.15,14
26,34,6,98695c12cf569bff19abcdc0bbdf9cdb,53.333653,-6.248345,WILTON TERRACE (PARK),2022-12-03T06:17:36.389000Z,40,"53.333653,-6.248345",2,4.25,8.0,4.3125,5,7.720000000000001,3,7.900000000000001,8
27,11,20,1ff69df9ba513f13683792c5824f1fc8,53.343105,-6.277167,JOHN STREET WEST,2022-12-03T06:17:36.390000Z,31,"53.343105,-6.277167",9,4.388888888888889,15.0,4.2,9,7.6375,5,7.775,14
28,19,16,b1c774f178240d5d757854364dafc840,53.341428,-6.24672,FENIAN STREET,2022-12-03T06:17:36.390000Z,35,"53.341428,-6.24672",10,4.3,13.0,4.076923076923077,4,7.8,8,6.771428571428571,12
29,31,9,703463670ff93e5b4dd4a2f452c597dc,53.338614,-6.248606,MERRION SQUARE SOUTH,2022-12-03T06:17:36.391000Z,40,"53.338614,-6.248606",4,4.125,10.0,4.15,6,8.0,6,7.44,12
30,9,21,56af00ad9631d36e6aa66697b718f9e0,53.341833,-6.231291,SOUTH DOCK ROAD,2022-12-03T06:17:36.392000Z,30,"53.341833,-6.231291",7,4.0,9.0,3.888888888888889,5,8.075,4,,9
31,30,0,135d1f3410c5dbcc49c55a1d522dbbe6,53.346637,-6.246154,CITY QUAY,2022-12-03T06:17:36.392000Z,30,"53.346637,-6.246154",11,4.2272727272727275,9.0,3.7222222222222223,6,7.233333333333334,7,7.279999999999999,13
32,1,23,c95abfb01cb256a25061f544fb13e2c8,53.343034,-6.263578,EXCHEQUER STREET,2022-12-03T06:17:36.393000Z,24,"53.343034,-6.263578",3,4.5,13.0,4.1923076923076925,7,8.371428571428572,5,8.58,12
33,11,29,424686745b03bf79a129185f0d9e8f31,53.346867,-6.230852,THE POINT,2022-12-03T06:17:36.394000Z,40,"53.346867,-6.230852",4,3.75,4.0,3.375,7,7.233333333333333,1,,8
34,26,4,428424092e82ea61a70490dfc9211819,53.3547,-6.272314,BROADSTONE,2022-12-03T06:17:36.394000Z,30,"53.3547,-6.272314",4,4.375,12.0,4.041666666666667,10,8.025,4,8.45,14
35,36,0,cb86fbba9f73ec42274939110ddb845e,53.33403,-6.260714,HATCH STREET,2022-12-03T06:17:36.395000Z,36,"53.33403,-6.260714",6,4.25,9.0,4.0,6,7.68,10,7.890000000000001,16
36,35,5,a2528349192a64f5841d6d5beaac8285,53.346026,-6.243576,LIME STREET,2022-12-03T06:17:36.396000Z,40,"53.346026,-6.243576",11,4.181818181818182,9.0,3.7222222222222223,6,7.4,7,7.24,13
37,33,6,4d01aeaab7d37c25b090856eefcc354c,53.330662,-6.260177,CHARLEMONT PLACE,2022-12-03T06:17:36.396000Z,40,"53.330662,-6.260177",7,4.214285714285714,8.0,3.875,4,7.625,9,7.825,13
38,13,27,ab7d72d5a8ea1d870f8ccae6852b5dc6,53.342113,-6.310015,KILMAINHAM GAOL,2022-12-03T06:17:36.397000Z,40,"53.342113,-6.310015",4,4.625,2.0,3.75,7,7.25,3,8.35,10
39,24,1,6f8f3c1c562ee09e6c33c8606137d72c,53.357043,-6.263232,HARDWICKE PLACE,2022-12-03T06:17:36.398000Z,25,"53.357043,-6.263232",7,4.642857142857143,6.0,4.333333333333333,4,7.5,4,8.366666666666667,8
40,13,16,d3ef511cdd49198b6e9c2f24c09c4a0d,53.348875,-6.267459,WOLFE TONE STREET,2022-12-03T06:17:36.399000Z,29,"53.348875,-6.267459",6,4.25,10.0,4.05,6,8.466666666666667,7,8.314285714285715,13
41,8,12,948327418119a9fbf5fec754db7dc5df,53.346874,-6.272976,GREEK STREET,2022-12-03T06:17:36.399000Z,20,"53.346874,-6.272976",8,4.3125,11.0,4.181818181818182,13,8.23076923076923,8,8.35,21
42,29,11,c69463d2b93dfe6d264028658d7355da,53.347932,-6.240928,GUILD STREET,2022-12-03T06:17:36.400000Z,40,"53.347932,-6.240928",7,4.357142857142857,6.0,3.5833333333333335,6,6.5,3,7.166666666666667,9
43,28,2,ed74535aec51c7f285d982bd70b03c0d,53.334432,-6.245575,HERBERT PLACE,2022-12-03T06:17:36.401000Z,30,"53.334432,-6.245575",2,4.25,11.0,4.2272727272727275,5,7.4,2,6.949999999999999,7
44,4,25,279a7a5d9e07d50528ff6479df92b3fb,53.343565,-6.275071,HIGH STREET,2022-12-03T06:17:36.401000Z,29,"53.343565,-6.275071",9,4.5,11.0,4.136363636363637,13,7.754545454545454,8,8.2,21
45,0,30,665a1d9b2f88f5bced1a2ee49a99e937,53.359624,-6.260348,NORTH CIRCULAR ROAD,2022-12-03T06:17:36.402000Z,30,"53.359624,-6.260348",4,4.625,12.0,3.875,2,7.8,1,,3
46,16,24,00fdf0f8415ac09af8709303f5dd419d,53.354929,-6.269425,WESTERN WAY,2022-12-03T06:17:36.402000Z,40,"53.354929,-6.269425",4,4.625,10.0,4.15,14,7.92,8,8.325,22
47,19,21,745f937185c7bcec73ef007235d5583e,53.350974,-6.25294,TALBOT STREET,2022-12-03T06:17:36.403000Z,40,"53.350974,-6.25294",6,4.416666666666667,16.0,4.0625,5,7.825,4,7.575,9
48,30,9,bca80581dac58915734223afb6f9d18a,53.337132,-6.26059,NEWMAN HOUSE,2022-12-03T06:17:36.404000Z,40,"53.337132,-6.26059",6,4.166666666666667,11.0,4.136363636363637,9,8.11111111111111,6,8.116666666666667,15
49,37,3,6637d89d1c9a28945ae2e00a170532e2,53.339218,-6.240642,SIR PATRICK DUN'S,2022-12-03T06:17:36.405000Z,40,"53.339218,-6.240642",10,4.3,10.0,3.85,7,7.340000000000001,8,7.416666666666667,15
50,30,10,b0c26d04d6812062b8d48e87eeec5407,53.347122,-6.234749,NEW CENTRAL BANK,2022-12-03T06:17:36.405000Z,40,"53.347122,-6.234749",5,4.0,7.0,3.0,2,7.4,3,7.2,5
51,27,13,0f9fa036045d6af51bfa8e2e39188966,53.355173,-6.278424,GRANGEGORMAN LOWER (CENTRAL),2022-12-03T06:17:36.406000Z,40,"53.355173,-6.278424",3,3.8333333333333335,7.0,3.857142857142857,4,7.1,2,7.5,6
52,21,9,0e810897bfa0ec6bb84a6ed4cbef236f,53.350291,-6.273507,KING STREET NORTH,2022-12-03T06:17:36.407000Z,30,"53.350291,-6.273507",9,4.333333333333333,11.0,4.090909090909091,12,8.05,7,8.028571428571428,19
53,1,29,feab4d3d1bc39c4102e073512c623cc9,53.354845,-6.247579,KILLARNEY STREET,2022-12-03T06:17:36.407000Z,30,"53.354845,-6.247579",3,4.5,14.0,4.0,4,7.4,3,8.0,7
54,31,9,a5ffb884201a84d6f1cd6fe434170984,53.335742,-6.24551,HERBERT STREET,2022-12-03T06:17:36.408000Z,40,"53.335742,-6.24551",2,4.25,10.0,4.25,5,7.4,3,6.949999999999999,8
55,40,0,4f95382153a0f7817256a5d175525f13,53.343653,-6.231755,HANOVER QUAY EAST,2022-12-03T06:17:36.409000Z,40,"53.343653,-6.231755",7,3.9285714285714284,7.0,3.9285714285714284,3,7.9,5,8.15,8
56,26,4,f5e210c0a5dcc2f14bf01589bc541d79,53.347884,-6.248048,CUSTOM HOUSE QUAY,2022-12-03T06:17:36.409000Z,30,"53.347884,-6.248048",10,4.35,9.0,3.888888888888889,5,7.280000000000001,7,7.416666666666667,12
57,13,7,68a1b64209d3d6f8ddc9a449ce9e2d29,53.341288,-6.258117,MOLESWORTH STREET,2022-12-03T06:17:36.410000Z,20,"53.341288,-6.258117",4,4.125,14.0,4.214285714285714,5,8.059999999999999,5,8.4,10
58,1,19,427f01fdc89a9e4156f70c7810784bc1,53.347508,-6.252192,GEORGES QUAY,2022-12-03T06:17:36.411000Z,20,"53.347508,-6.252192",9,4.277777777777778,16.0,4.0625,11,8.336363636363636,8,7.957142857142857,19
59,21,9,250660fe6d0e479bd0bf3681286bbac4,53.341805,-6.305085,KILMAINHAM LANE,2022-12-03T06:17:36.411000Z,30,"53.341805,-6.305085",1,4.0,2.0,3.75,5,7.25,2,8.5,7
60,9,13,8aadbf40c946051429ab75543f009e29,53.341645,-6.29719,MOUNT BROWN,2022-12-03T06:17:36.412000Z,22,"53.341645,-6.29719",2,3.75,4.0,3.75,3,,3,,6
61,28,10,da5ec52b97e932d1a68cb96164879bf6,53.342296,-6.287661,MARKET STREET SOUTH,2022-12-03T06:17:36.413000Z,38,"53.342296,-6.287661",2,4.25,8.0,4.25,10,7.74,6,7.8,16
62,29,11,c6afbdf0e0873225c50674450c782afb,53.337757,-6.267699,KEVIN STREET,2022-12-03T06:17:36.413000Z,40,"53.337757,-6.267699",8,4.125,10.0,4.2,14,7.785714285714286,5,8.08,19
63,27,0,0df9de93015a6cbbe7e505075ca67b88,53.358115,-6.265601,ECCLES STREET EAST,2022-12-03T06:17:36.414000Z,27,"53.358115,-6.265601",7,4.5,8.0,4.125,5,7.5,9,8.366666666666667,14
64,40,0,76de76200b4558fdf5985cb25f1fe77e,53.342638,-6.238695,GRAND CANAL DOCK,2022-12-03T06:17:36.415000Z,40,"53.342638,-6.238695",10,4.25,7.0,3.5714285714285716,6,6.8,4,7.275,10
65,27,3,309e2bc421c732ddb1dc59f2e28cebe2,53.339434,-6.246548,MERRION SQUARE EAST,2022-12-03T06:17:36.416000Z,30,"53.339434,-6.246548",5,4.2,12.0,4.041666666666667,6,8.0,7,7.0,13
66,24,16,49ac0f7be439341005b8113957bdb7b7,53.339334,-6.264699,YORK STREET WEST,2022-12-03T06:17:36.416000Z,40,"53.339334,-6.264699",7,4.142857142857143,10.0,4.25,14,8.178571428571429,7,8.014285714285714,21
67,22,7,bf6b75f2039b2b974a61b0f7ec1fe12f,53.337494,-6.26199,ST. STEPHEN'S GREEN SOUTH,2022-12-03T06:17:36.417000Z,30,"53.337494,-6.26199",7,4.071428571428571,11.0,4.181818181818182,12,7.974999999999999,7,7.985714285714286,19
68,16,4,e72b6d52782953a44ad36563c0d4ae6d,53.35561,-6.261397,DENMARK STREET GREAT,2022-12-03T06:17:36.418000Z,20,"53.35561,-6.261397",8,4.625,6.0,3.6666666666666665,6,7.9,8,7.866666666666667,14
69,31,9,d259018d44d9783796099054d965f33a,53.343897,-6.29706,ROYAL HOSPITAL,2022-12-03T06:17:36.418000Z,40,"53.343897,-6.29706",4,4.25,7.0,3.7142857142857144,1,,2,6.9,3
70,23,17,43060a5abcbb254aed204872da5b300f,53.346985,-6.297804,HEUSTON STATION (CAR PARK),2022-12-03T06:17:36.419000Z,40,"53.346985,-6.297804",4,4.25,5.0,3.6,5,7.85,2,6.9,7
71,30,6,39bef75a632e11c0fc34f95624e5c122,53.355954,-6.278378,GRANGEGORMAN LOWER (NORTH),2022-12-03T06:17:36.420000Z,36,"53.355954,-6.278378",4,3.875,4.0,4.0,6,7.85,2,7.5,8
72,6,32,7480160ebd2b0de5cc9b7d0ca2265908,53.337824,-6.256035,ST. STEPHEN'S GREEN EAST,2022-12-03T06:17:36.420000Z,40,"53.337824,-6.256035",3,4.0,10.0,4.2,6,7.583333333333333,5,8.1,11
73,16,24,e8f23b591ae7a2afdfe06058eae28e66,53.346603,-6.296924,HEUSTON STATION (CENTRAL),2022-12-03T06:17:36.421000Z,40,"53.346603,-6.296924",4,4.25,6.0,3.6666666666666665,4,7.85,2,6.9,6
74,11,9,545abfed174ff3eba9ee8adc12b33e68,53.345922,-6.254614,TOWNSEND STREET,2022-12-03T06:17:36.422000Z,20,"53.345922,-6.254614",3,4.166666666666667,16.0,4.15625,14,7.971428571428571,5,7.859999999999999,19
75,18,2,cda1c18c4d2056fb5beddd1c630e1ab0,53.359246,-6.269779,ECCLES STREET,2022-12-03T06:17:36.424000Z,20,"53.359246,-6.269779",7,4.214285714285714,11.0,3.9545454545454546,7,7.733333333333333,9,8.3,16
76,23,6,3c0cfd547a142bb651280991a412bcbe,53.330362,-6.265163,PORTOBELLO HARBOUR,2022-12-03T06:17:36.425000Z,30,"53.330362,-6.265163",10,4.2,7.0,3.7142857142857144,7,7.557142857142857,10,7.8999999999999995,17
77,18,22,ada935c92adf2369d92391d9fb5398fb,53.359967,-6.264828,MATER HOSPITAL,2022-12-03T06:17:36.425000Z,40,"53.359967,-6.264828",5,4.6,11.0,3.5454545454545454,2,7.5,2,8.3,4
78,6,14,633407d717379558361082872bf00e3c,53.356769,-6.26814,BLESSINGTON STREET,2022-12-03T06:17:36.426000Z,20,"53.356769,-6.26814",7,4.5,9.0,4.166666666666667,9,8.05,9,8.366666666666667,18
79,24,16,f1d78de0fc11dec4e7396d1cd0222172,53.343456,-6.287409,JAMES STREET,2022-12-03T06:17:36.427000Z,40,"53.343456,-6.287409",1,4.5,11.0,3.909090909090909,9,7.74,7,7.8,16
80,33,7,24c29a574f6850ee7bfaf48d926e1bbb,53.356717,-6.256359,MOUNTJOY SQUARE EAST,2022-12-03T06:17:36.427000Z,40,"53.356717,-6.256359",4,4.625,11.0,4.0,5,7.766666666666667,4,8.25,9
81,13,7,879c05e967e65c50e8121f8e41699bd1,53.339764,-6.251988,MERRION SQUARE WEST,2022-12-03T06:17:36.428000Z,20,"53.339764,-6.251988",2,4.25,12.0,4.208333333333333,8,7.6125,5,7.58,13
82,39,1,da5ff1f0e055a61cdbd2cfa4304e6d35,53.34744,-6.238523,CONVENTION CENTRE,2022-12-03T06:17:36.429000Z,40,"53.34744,-6.238523",7,4.142857142857143,5.0,3.5,4,6.8,6,7.175,10
83,6,10,a2da0ed146cbbdd49885f0858d7fa923,53.355473,-6.264423,HARDWICKE STREET,2022-12-03T06:17:36.429000Z,16,"53.355473,-6.264423",8,4.625,7.0,3.7857142857142856,5,8.133333333333333,8,7.9,13
84,22,16,5169be333974ddf2a5f9e22896cb95fa,53.347972,-6.291804,PARKGATE STREET,2022-12-03T06:17:36.430000Z,38,"53.347972,-6.291804",6,4.166666666666667,6.0,3.4166666666666665,8,6.966666666666666,2,6.9,10
85,2,14,49d8c36b00f1581cc9ca2fe1b87b7a5a,53.344007,-6.266802,DAME STREET,2022-12-03T06:17:36.431000Z,16,"53.344007,-6.266802",4,4.5,12.0,4.25,9,8.422222222222222,7,8.485714285714286,16
86,0,25,8dc250e10f6b800ab66807db4fcec02b,53.347106,-6.292041,HEUSTON BRIDGE (SOUTH),2022-12-03T06:17:36.432000Z,25,"53.347106,-6.292041",5,4.1,6.0,3.8333333333333335,7,6.966666666666666,2,6.9,9
87,5,15,bf826dd5e8d580728a8927ef7fe25bf9,53.352149,-6.260533,CATHAL BRUGHA STREET,2022-12-03T06:17:36.433000Z,20,"53.352149,-6.260533",7,4.357142857142857,13.0,3.9615384615384617,7,7.785714285714286,3,7.733333333333333,10
88,33,7,f4ba711dcc36d47f4801d26ebda44edd,53.345203,-6.247163,SANDWITH STREET,2022-12-03T06:17:36.433000Z,40,"53.345203,-6.247163",10,4.3,11.0,3.9545454545454546,4,7.466666666666666,7,6.959999999999999,11
89,18,11,a6ac5cbdfa374eb1a4ace9e65d8b7939,53.353331,-6.249319,BUCKINGHAM STREET LOWER,2022-12-03T06:17:36.434000Z,29,"53.353331,-6.249319",7,4.357142857142857,12.0,4.25,9,7.75,5,7.449999999999999,14
90,18,17,11b359924d83d802a41856c405d13e61,53.338776,-6.30395,ROTHE ABBEY,2022-12-03T06:17:36.435000Z,35,"53.338776,-6.30395",2,4.0,3.0,3.8333333333333335,6,7.266666666666667,1,,7
91,20,20,f190fd9c0cb2e3d49326241e60254820,53.359157,-6.281866,CHARLEVILLE ROAD,2022-12-03T06:17:36.435000Z,40,"53.359157,-6.281866",2,4.0,,,2,,1,7.5,3
92,14,9,01908efd6badf1c9cf37f1fb62160bbd,53.349013,-6.260311,PRINCES STREET / O'CONNELL STREET,2022-12-03T06:17:36.436000Z,23,"53.349013,-6.260311",7,4.285714285714286,14.0,4.142857142857143,8,8.0125,6,8.15,14
93,8,22,a829cb901d24566f0610a5874342349d,53.358437,-6.260641,UPPER SHERRARD STREET,2022-12-03T06:17:36.437000Z,30,"53.358437,-6.260641",5,4.6,9.0,4.111111111111111,3,7.65,1,8.7,4
94,35,5,153ff4dfb7bd8912ef91c10849129c2e,53.335211,-6.2509,FITZWILLIAM SQUARE EAST,2022-12-03T06:17:36.437000Z,40,"53.335211,-6.2509",3,4.0,8.0,4.1875,4,8.575,4,7.933333333333334,8
95,17,6,26abc58b27ae800ff23d6b82e0e11ef5,53.339629,-6.243778,GRATTAN STREET,2022-12-03T06:17:36.438000Z,23,"53.339629,-6.243778",8,4.3125,9.0,3.7222222222222223,6,7.55,8,7.128571428571428,14
96,38,2,54f426954f30de0045bfd0c3795885fd,53.341359,-6.292951,ST JAMES HOSPITAL (LUAS),2022-12-03T06:17:36.439000Z,40,"53.341359,-6.292951",3,3.8333333333333335,6.0,4.25,9,7.933333333333334,5,7.449999999999999,14
97,17,3,33030fc55807ba8703db9da20ac87616,53.332763,-6.257942,HARCOURT TERRACE,2022-12-03T06:17:36.439000Z,20,"53.332763,-6.257942",5,4.3,9.0,4.055555555555555,5,8.05,9,7.762499999999999,14
98,5,15,05280ab89efb0433301353fd0b73b054,53.351182,-6.269859,BOLTON STREET,2022-12-03T06:17:36.440000Z,20,"53.351182,-6.269859",8,4.3125,10.0,4.1,8,8.257142857142856,2,8.25,10
99,0,21,cbd6fb0ab33a7fdb706980585189da92,53.3483,-6.266651,JERVIS STREET,2022-12-03T06:17:36.441000Z,21,"53.3483,-6.266651",6,4.25,12.0,4.166666666666667,6,8.233333333333333,7,8.242857142857144,13
100,4,25,b1c790286e760185c240642d01f05b78,53.346057,-6.268001,ORMOND QUAY UPPER,2022-12-03T06:17:36.441000Z,29,"53.346057,-6.268001",6,4.25,9.0,4.222222222222222,9,8.355555555555556,9,8.477777777777778,18
101,33,7,09db22de8548b15120cdb7a4b18a0937,53.354663,-6.278681,GRANGEGORMAN LOWER (SOUTH),2022-12-03T06:17:36.442000Z,40,"53.354663,-6.278681",3,3.8333333333333335,9.0,3.9444444444444446,7,7.6499999999999995,3,8.5,10
102,25,5,79c65939a9c632806dcecebc48275944,53.356299,-6.258586,MOUNTJOY SQUARE WEST,2022-12-03T06:17:36.443000Z,30,"53.356299,-6.258586",6,4.666666666666667,6.0,3.8333333333333335,7,7.883333333333333,7,8.32,14
103,17,3,96c377e929ac4d83561b0efb7ed48910,53.332383,-6.252717,WILTON TERRACE,2022-12-03T06:17:36.443000Z,20,"53.332383,-6.252717",7,4.071428571428571,10.0,3.85,4,7.833333333333333,6,7.35,10
104,6,34,6bff19daf1747a1e956a899ef8021232,53.340714,-6.308191,EMMET ROAD,2022-12-03T06:17:36.444000Z,40,"53.340714,-6.308191",2,4.25,2.0,3.75,7,7.25,3,8.5,10
105,17,23,33676fd7a00d95b12a0b24425900caaa,53.347802,-6.292432,HEUSTON BRIDGE (NORTH),2022-12-03T06:17:36.444000Z,40,"53.347802,-6.292432",5,4.1,5.0,3.6,8,6.966666666666666,4,6.9,12
106,14,16,381519659470772b8e6373137aa54ed0,53.34218,-6.254485,LEINSTER STREET SOUTH,2022-12-03T06:17:36.445000Z,30,"53.34218,-6.254485",4,4.125,14.0,4.25,6,7.75,5,7.640000000000001,11
107,22,8,bc84f752c0329ba197f92110262951d3,53.3488,-6.281637,BLACKHALL PLACE,2022-12-03T06:17:36.446000Z,30,"53.3488,-6.281637",6,4.25,8.0,4.1875,10,7.8999999999999995,7,7.8428571428571425,17
108,2,29,0db5e763ba7f51ccdac0c86b7252432f,53.340927,-6.262501,CLARENDON ROW,2022-12-03T06:17:36.381000Z,31,"53.340927,-6.262501",5,4.1,12.0,4.25,11,8.254545454545454,5,8.379999999999999,16
109,22,8,1f233a084b541e2f3b2449e7bdcb70d7,53.336597,-6.248109,JAMES STREET EAST,2022-12-03T06:17:36.373000Z,30,"53.336597,-6.248109",2,4.0,8.0,4.125,5,7.9399999999999995,3,8.033333333333333,8
110,18,2,43819587f9f674e70910a8a04ba222bd,53.3537415547453,-6.26530144781526,PARNELL SQUARE NORTH,2022-12-03T06:17:36.370000Z,20,"53.3537415547453,-6.26530144781526",7,4.571428571428571,11.0,3.9545454545454546,9,7.987500000000001,6,7.95,15
111,0,30,91dfa0e55f92403e93f25d1aab411b7c,53.344603,-6.263371,FOWNES STREET UPPER,2022-12-03T06:17:36.380000Z,30,"53.344603,-6.263371",4,4.5,15.0,4.1,11,8.527272727272727,4,8.525,15
112,20,9,0bd08b069605f316a1223da35b19543d,53.347692,-6.278214,SMITHFIELD,2022-12-03T06:17:36.431000Z,30,"53.347692,-6.278214",5,4.4,12.0,4.208333333333333,8,7.857142857142857,10,7.7375,18
